name,name_kana,name_romaji,nickname,latitude,longitude
淡輪山中,,,,34.330811,135.187278
孝子,キョウシ,KYOSHI,,34.29108,135.163782
多奈川小島,タナガワコシマ,TANAGAWAKOSHIMA,,34.314628,135.10557
多奈川谷川,タナガワタニガワ,TANAGAWATANIGAWA,,34.316212,135.123686
多奈川西畑,タナガワニシバタ,TANAGAWANISHIBATA,,34.292635,135.110984
多奈川東畑,タナガワヒガシバタ,TANAGAWAHIGASHIBATA,,34.292635,135.131629
淡輪,タンノワ,TANNOWA,,34.313826,135.182572
望海坂一丁目,ノゾミザカ 1,NOZOMIZAKA 1,,34.328338,135.189068
望海坂二丁目,ノゾミザカ 2,NOZOMIZAKA 2,,34.327023,135.19093
望海坂三丁目,ノゾミザカ 3,NOZOMIZAKA 3,,34.324204,135.189386
深日,フケ,FUKE,,34.314704,135.156281
